Id,Name,Temperat. requir. optimal min,Temperat. requir. optimal max,Temperat. requir. absolute min,Temperat. requir. absolute max,Rainfall (annual) optimal min,Rainfall (annual) optimal max,Rainfall (annual) absolute min,Rainfall (annual) absolute max,Altitude optimal min,Altitude optimal max,Altitude absolute min,Altitude absolute max,Light intensity optimal min,Light intensity optimal max,Light intensity absolute min,Light intensity absolute max
1007,Erythrina fusca,16,24,12,32,1200,3000,1000,3500,,,,2000,clear skies,very bright,clear skies,very bright
5479,Diplachne fusca,22,28,15,35,450,1000,300,2000,,,,,very bright,very bright,very bright,cloudy skies
4912,Cotylelobium burckii,22,34,12,38,2100,2700,1800,3000,,,,400,very bright,clear skies,very bright,cloudy skies
4913,Cotylelobium lanceolatum,19,34,8,38,2100,2700,1800,3000,,,,1500,very bright,clear skies,very bright,cloudy skies
4914,Cotylelobium melanoxylon,22,34,12,38,2100,2700,1800,3000,,,,300,very bright,clear skies,very bright,cloudy skies
3236,Annona atemoya,24,28,12,32,2000,3000,600,4200,,,,1500,very bright,very bright,very bright,clear skies
2194,Annona cherimola,17,25,7,32,800,1200,600,2200,,,,2500,very bright,clear skies,very bright,light shade
4916,Coula edulis,25,35,20,40,1000,2000,800,2500,,,,,clear skies,very bright,light shade,very bright
2465,Annona cherimola x Annona squamosa,24,28,12,32,2000,3000,600,4200,,,,2000,very bright,very bright,clear skies,very bright
289,Abelmoschus esculentus,20,30,12,35,600,1200,300,2500,,,,1000,clear skies,clear skies,very bright,cloudy skies
127526,Couma utilis,20,30,15,35,2000,4000,1500,5000,,,,500,clear skies,cloudy skies,very bright,light shade
290,Abelmoschus manihot,22,30,16,36,1200,2000,1000,3000,,,,1200,very bright,clear skies,very bright,cloudy skies
291,Abelmoschus moschatus,20,30,10,35,1000,1400,900,1500,,,,900,cloudy skies,very bright,light shade,very bright
2196,Annona diversifolia,20,26,16,31,1000,1400,650,2600,,,,1800,light shade,very bright,light shade,very bright
1968,Solanum quitoense,15,25,10,30,1500,3000,700,3750,,,,2500,clear skies,cloudy skies,very bright,light shade
196860,Abies amabilis,12,18,6,22,1500,6000,1000,6650,,,,2100,clear skies,cloudy skies,very bright,light shade
2551,Abies balsamea,10,18,4,26,750,1100,400,1500,,,,1900,cloudy skies,clear skies,cloudy skies,clear skies
3241,Annona montana,16,26,14,32,900,1700,640,4000,,,,2000,very bright,clear skies,very bright,cloudy skies
411,Annona muricata,20,30,13,36,1200,2200,800,4200,,,,1200,very bright,clear skies,very bright,cloudy skies
2197,Annona purpurea,22,30,17,35,1000,3000,700,5000,,,,1200,clear skies,very bright,cloudy skies,very bright
2553,Abies concolor,10,18,5,22,800,1200,350,1900,,,600,3100,cloudy skies,very bright,cloudy skies,very bright
412,Annona reticulata,23,27,7,34,1200,1400,600,2200,,,,1500,clear skies,very bright,light shade,very bright
3242,Annona scleroderma,23,26,8,32,3500,4500,3000,5000,,,,1000,clear skies,very bright,light shade,very bright
3243,Annona senegalensis,17,30,14,38,700,2500,500,3000,,,,2400,cloudy skies,very bright,light shade,very bright
414,Annona squamosa,23,30,11,41,800,1200,570,4000,,,,1000,very bright,clear skies,very bright,cloudy skies
1264,Ipomoea aquatica,15,35,10,40,2000,2500,700,4200,,,,,very bright,very bright,very bright,clear skies
17650,Ipomoea aquatica var. reptans,15,35,10,40,2000,2500,700,4200,,,,,very bright,very bright,very bright,clear skies
1877,Rubus idaeus ssp. idaeus,17,23,5,28,800,1200,300,1700,,,,1500,very bright,clear skies,very bright,cloudy skies
4922,Crambe abyssinica,15,25,10,35,800,1500,700,2500,,,,2500,very bright,very bright,very bright,cloudy skies
5809,Erythrina poeppigiana,22,28,16,36,1000,4000,800,4500,,,,2000,clear skies,very bright,clear skies,very bright
4923,Crambe cordifolia,15,24,12,36,500,800,400,1000,,,,,clear skies,very bright,light shade,very bright
2558,Abies pindrow,16,24,2,32,1300,2000,1100,2500,,,2500,4000,very bright,clear skies,very bright,heavy shade
4926,Crambe maritima,14,24,4,28,600,1000,400,1300,,,,200,very bright,very bright,very bright,clear skies
1265,Ipomoea batatas,18,28,10,38,750,2000,350,5000,,,,2800,very bright,very bright,very bright,clear skies
7874,Myrciaria cauliflora,22,28,10,32,900,1500,700,1700,,,,1800,clear skies,cloudy skies,very bright,cloudy skies
4434,Ceriops decandra,22,28,15,32,1500,3500,1000,5000,,,,,very bright,clear skies,very bright,cloudy skies
4435,Ceriops tagal,20,30,10,38,1500,3000,1000,4000,,,,,very bright,clear skies,very bright,light shade
