Id,Name,avg_temp,avg_rainfall,avg_light_intensity
1007,Erythrina fusca,22.0,2250.0,4.5
5479,Diplachne fusca,25.0,1150.0,3.0
4912,Cotylelobium burckii,25.0,2400.0,3.0
4913,Cotylelobium lanceolatum,23.0,2400.0,3.0
4914,Cotylelobium melanoxylon,25.0,2400.0,3.0
3236,Annona atemoya,22.0,2400.0,4.5
2194,Annona cherimola,19.5,1400.0,3.5
4916,Coula edulis,30.0,1650.0,3.5
2465,Annona cherimola x Annona squamosa,22.0,2400.0,4.5
289,Abelmoschus esculentus,23.5,1400.0,3.0
127526,Couma utilis,25.0,3250.0,3.5
290,Abelmoschus manihot,26.0,2000.0,3.0
291,Abelmoschus moschatus,22.5,1200.0,3.5
2196,Annona diversifolia,23.5,1625.0,3.5
1968,Solanum quitoense,20.0,2225.0,3.5
196860,Abies amabilis,14.0,3825.0,3.5
2551,Abies balsamea,15.0,950.0,3.5
3241,Annona montana,23.0,2320.0,3.0
411,Annona muricata,24.5,2500.0,3.0
2197,Annona purpurea,26.0,2850.0,3.0
2553,Abies concolor,13.5,1125.0,3.0
412,Annona reticulata,20.5,1400.0,3.5
3242,Annona scleroderma,20.0,4000.0,3.5
3243,Annona senegalensis,26.0,1750.0,3.5
414,Annona squamosa,26.0,2285.0,3.0
1264,Ipomoea aquatica,25.0,2450.0,4.5
17650,Ipomoea aquatica var. reptans,25.0,2450.0,4.5
1877,Rubus idaeus ssp. idaeus,16.5,1000.0,3.0
4922,Crambe abyssinica,22.5,1600.0,3.0
5809,Erythrina poeppigiana,26.0,2650.0,4.5
4923,Crambe cordifolia,24.0,700.0,3.5
2558,Abies pindrow,17.0,1800.0,2.5
4926,Crambe maritima,16.0,850.0,4.5
1265,Ipomoea batatas,24.0,2675.0,4.5
7874,Myrciaria cauliflora,21.0,1200.0,3.0
4434,Ceriops decandra,23.5,3000.0,3.0
4435,Ceriops tagal,24.0,2500.0,3.5
3245,Anogeissus acuminata,26.5,2200.0,3.0
3246,Anogeissus latifolia,27.0,1450.0,4.5
3248,Anogeissus pendula,26.0,660.0,3.5
5485,Diploglottis cunninghamii,22.0,1500.0,3.0
1970,Solanum torvum,23.5,2450.0,4.0
2561,Abroma augustum,27.0,2400.0,3.0
1971,Solanum tuberosum,18.5,1125.0,3.0
9922,Solenostemon rotundifolius,22.0,2600.0,3.0
5814,Erythrophleum chlorostahys,28.0,1000.0,3.0
2075,Thespesia populnea,22.5,2900.0,3.0
5498,Dipterocarpus alatus,23.0,4100.0,2.5
5499,Dipterocarpus costatus,24.0,3500.0,3.0
5500,Dipterocarpus gracilis,25.0,2500.0,3.0
5501,Dipterocarpus indicus,25.5,5750.0,3.5
5502,Dipterocarpus macrocarpus,21.5,3050.0,3.5
5503,Dipterocarpus turbinatus,25.0,3300.0,3.0
5505,Dipteryx odorata,25.0,2650.0,4.0
3746,Boehmeria nivea,22.0,2500.0,3.5
2575,Acacia ammobia,26.5,225.0,4.5
3254,Anthemis nobilis,16.5,900.0,4.5
2576,Acacia ampliceps,25.5,500.0,4.5
2578,Acacia ancistrocarpa,28.0,475.0,4.5
6492,Gossypium arboreum,28.0,1000.0,4.5
1158,Gossypium barbadense,26.5,1000.0,4.5
7900,Myrtus communis,19.0,650.0,3.5
6493,Gossypium herbaceum,28.0,850.0,4.5
1160,Gossypium hirsutum,28.5,975.0,4.5
2579,Acacia aneura,27.0,350.0,4.5
126290,Acacia angustissima,27.5,1900.0,3.5
2580,Acacia anticeps,22.0,350.0,4.5
2581,Acacia argyrodendron,25.0,500.0,4.5
